vehicle_id,fuel_level,mileage,timestamp,location,driver_id
VEH-0034,54.7%,21861.6,2024/02/06 15:57:00,Houston,DRV-0374
VEH-0037,,205633.7,2024/06/02 09:54:00,Phoenix,DRV-0316
VEH-0094,,202608.2,12-20-2024,,DRV-0123
VEH-0236,16.9,N/A,2024-07-29 01:18:00,Houston,DRV-0083
VEH-0144,82.6,195507.0,2024-04-17 19:25:00,n/a,DRV-0146
VEH-0110,39.4,-47968.3,08/03/2024 12:33,UNKNOWN,DRV-0290
VEH-0241,6.2,23090.1 mi,07/05/2024 19:13,Phoenix,DRV-0183
VEH-0185,36.2,83627.8,06-30-2024,Phoenix,DRV-0326
VEH-0132,7.3,49773.4,2024-08-03 14:49:00,Chicago,DRV-0104
VEH-0122,23.4,159800.5,2024/10/29 17:27:00,Houston,DRV-0129
VEH-0178,,98408.9,13/10/2024 10:53,Chicago,DRV-0172
VEH-0041,84.8,45454.4 mi,21/01/2024 02:42,Phoenix,DRV-0093
VEH-0211,83.9,2854.5,2024/06/25 13:20:00,Chicago,DRV-0201
VEH-0058,37.5,156688.3,2024-02-14 23:55:00,New York,DRV-0095
VEH-0138,82.7,26730.0,01-11-2024,n/a,DRV-0024
VEH-0011,8.3,38630.2,01-07-2024,New York,DRV-0272
VEH-0214,35.1,101163.4,04-20-2024,New York,DRV-0050
VEH-0212,87.9,139260.1,08-25-2024,Los Angeles,DRV-0166
VEH-0051,95.1,182419.6,2024-05-15 09:02:00,n/a,DRV-0333
VEH-0242,36.9,92453.3,2024/04/12 21:55:00,UNKNOWN,DRV-0291
VEH-0074,36.8,112152.7,09-09-2024,,DRV-0090
VEH-0059,66.6,241511.9,01-25-2024,Los Angeles,DRV-0194
VEH-0016,23.2%,101331.3,10/11/2024 17:09,UNKNOWN,DRV-0125
VEH-0002,24.2,178513.2,2024-10-09 04:31:00,Houston,DRV-0019
VEH-0046,58.3,105356.1 mi,2024-05-06 13:17:00,,DRV-0143
VEH-0198,71.2,206494.6,09-20-2024,Houston,DRV-0108
VEH-0235,30.3,133117.7,2024/01/24 16:10:00,n/a,DRV-0081
VEH-0170,73.6,12914.3,11-13-2024,Houston,DRV-0382
VEH-0188,10.8,17411.5,2024/10/03 14:43:00,New York,DRV-0214
VEH-XXXX,76.2,96635.1,2024-09-17 14:50:00,Chicago,DRV-0039
VEH-0231,80.8,N/A,2024-06-12 14:52:00,n/a,
VEH-0196,44.8,,07/02/2024 06:02,n/a,DRV-0038
VEH-0185,94.7,221213.8,08/01/2024 18:30,Houston,DRV-0016
VEH-0162,68.7,168554.9,08-04-2024,UNKNOWN,DRV-0055
VEH-0160,51.1%,111379.5,2024-06-10 00:39:00,New York,
VEH-0144,16.8,209110.5,29/09/2024 12:03,Phoenix,DRV-0194
VEH-0188,5.4,187161.3,2024-06-15 12:00:00,Los Angeles,DRV-0260
VEH-0002,20.6,30346.6,19/01/2024 11:24,,DRV-0128
VEH-0054,60.8,128172.1,08-15-2024,Chicago,DRV-0022
VEH-0043,24.1,58391.8,19/02/2024 09:14,Houston,DRV-0313
VEH-0137,91.1,40428.2,07-01-2024,Chicago,DRV-0353
VEH-0108,76.1,-178253.6,27/11/2024 23:43,Chicago,DRV-0296
VEH-0064,99.4%,58182.1,2024/10/07 22:56:00,Houston,DRV-0291
VEH-0091,19.0,198148.8,01-18-2024,UNKNOWN,DRV-0193
VEH-0208,84.6,183929.5,07-10-2024,Los Angeles,DRV-0200
VEH-0146,83.2,229599.4,05/02/2024 22:54,Chicago,DRV-0023
VEH-0237,58.7%,186359.9,2024/07/27 14:44:00,,DRV-0043
VEH-0152,88.4,57019.9,09-13-2024,n/a,DRV-0303
VEH-0083,22.0,170814.7,2024/06/04 18:39:00,Phoenix,DRV-0232
VEH-0029,37.2,6459.7,2024/05/30 18:36:00,New York,DRV-0261
VEH-0179,84.5,62252.2,21/10/2024 04:31,Houston,DRV-0208
VEH-0109,3.8%,217699.3,09/06/2024 04:50,Chicago,DRV-0100
VEH-0111,,153292.6,2024/07/05 11:42:00,,DRV-0367
VEH-0025,49.5,8597.1,2024/10/26 08:31:00,New York,DRV-0331
VEH-0150,,74387.1,2024/09/01 22:33:00,UNKNOWN,DRV-0210
VEH-0016,50.1,245355.4 mi,2024-01-24 12:48:00,Phoenix,DRV-0210
VEH-0049,20.6,110307.4,23/08/2024 05:24,Los Angeles,DRV-0008
VEH-0177,88.1,64165.4,10/07/2024 00:22,UNKNOWN,DRV-0030
VEH-0207,63.5,157455.2,18/03/2024 02:03,Houston,DRV-0065
VEH-0188,unknown,81199.7,08-06-2024,Phoenix,DRV-0059
VEH-0064,33.1,29663.9,01-27-2024,Phoenix,DRV-0284
VEH-0071,71.0,78587.5,2024-11-06 10:11:00,Houston,DRV-0027
VEH-0080,66.4,102799.4,21/05/2024 14:16,Houston,DRV-0400
VEH-0013,22.0,-56.8,2024/11/05 15:21:00,Houston,DRV-0192
  ,104.3,181007.3,12-11-2024,Chicago,DRV-0162
VEH-0174,39.1,211237.6,2024-02-17 20:37:00,UNKNOWN,DRV-0343
VEH-0127,121.0,101776.6,2024-04-16 23:17:00,Houston,DRV-0020
VEH-0103,unknown,44629.9,2024/10/04 22:23:00,Houston,DRV-0191
VEH-0152,71.4,200432.0,2024/10/05 17:44:00,,DRV-0109
VEH-0030,41.5,22335.0,2024-09-13 13:08:00,n/a,DRV-0306
VEH-0085,28.0,238716.3,2024/03/09 01:12:00,n/a,
VEH-0128,53.0,60463.1,05-28-2024,Chicago,DRV-0225
VEH-0104,65.1,N/A,2024/10/15 19:52:00,Phoenix,DRV-0089
VEH-0227,91.8,102010.1,20/02/2024 10:36,Phoenix,
VEH-0148,87.5,132234.3,07-26-2024,n/a,DRV-0250
VEH-0050,19.9,146925.8,2024-06-06 21:44:00,Phoenix,DRV-0304
VEH-0160,37.4,170365.2,15/07/2024 16:56,,DRV-0044
VEH-0091,39.3,223011.6,01/07/2024 12:01,Los Angeles,DRV-0331
  ,80.3,240230.0,2024-04-20 14:25:00,New York,DRV-0017
VEH-0143,53.3,149098.4,01-15-2024,Los Angeles,DRV-0092
VEH-0141,76.0,148909.7 mi,05/10/2024 21:40,,DRV-0270
VEH-0157,46.5,211847.0,2024/01/29 17:00:00,Phoenix,DRV-0387
VEH-0040,39.6,-228772.5,2024-07-13 16:37:00,n/a,DRV-0128
VEH-0044,,81844.2,2024-01-23 20:49:00,Chicago,DRV-0316
VEH-0202,59.7,202540.3,05-13-2024,New York,DRV-0328
VEH-0147,85.6,207555.0,2024/07/27 04:57:00,New York,DRV-0013
VEH-0040,43.7,226039.7,2024/02/23 20:38:00,UNKNOWN,DRV-0274
VEH-0222,49.6,100911.7,16/06/2024 11:55,Houston,DRV-0167
VEH-0205,74.6,223377.5,2024-06-30 11:01:00,Chicago,DRV-0394
VEH-0073,8.5,201906.5,2024-10-14 10:47:00,Phoenix,DRV-0200
VEH-0033,39.6,74668.0,26/11/2024 17:39,Los Angeles,DRV-0064
VEH-0125,145.0,225104.5,23/06/2024 06:01,Phoenix,DRV-0283
VEH-0230,55.9,,2024/08/08 23:31:00,Houston,DRV-0278
VEH-0212,22.2,57768.7,2024/03/19 11:20:00,New York,DRV-0345
VEH-0149,76.2,N/A,2024-08-01 14:32:00,,DRV-0344
VEH-0090,75.1,25343.2,2024/06/12 02:03:00,Phoenix,DRV-0028
VEH-0094,59.9,182164.1,2024/07/20 14:17:00,New York,DRV-0129
VEH-0180,73.9,156302.9,10-05-2024,UNKNOWN,DRV-0239
VEH-0207,15.8%,172029.4,2024-09-24 20:05:00,Houston,DRV-0255
VEH-0250,79.9%,,2024-08-16 02:57:00,Chicago,DRV-0227
VEH-0197,29.0,144299.9,2024-09-28 16:42:00,Chicago,DRV-0367
VEH-0070,149.4,34109.9,21/07/2024 06:25,New York,DRV-0249
VEH-0033,69.6,113635.3,2024-01-03 12:42:00,Phoenix,DRV-0369
VEH-0061,42.1,159044.3,11-19-2024,Chicago,DRV-0330
VEH-0044,38.4,135888.2,2024-02-24 14:45:00,n/a,DRV-0315
VEH-0244,30.2,223771.3,2024/02/21 03:27:00,,DRV-0185
VEH-0062,24.3,231758.6 mi,11/01/2024 04:23,Houston,DRV-0088
VEH-0081,33.7,179484.3,2024-06-25 18:05:00,New York,DRV-0132
VEH-0036,11.5,173705.2,2024/05/16 02:21:00,,DRV-0076
VEH-0039,,160120.8,06-14-2024,Houston,DRV-0097
VEH-0003,134.8,-141268.1,2024-05-15 17:08:00,Phoenix,DRV-0320
VEH-0172,2.9,206454.2,05-18-2024,n/a,DRV-0013
VEH-0108,42.8,149016.0,2024-06-11 14:01:00,Houston,DRV-0205
VEH-0079,39.9,4793.2 mi,07-03-2024,Phoenix,DRV-0215
VEH-0114,97.5,210634.6,02-25-2024,UNKNOWN,DRV-0334
VEH-0123,43.2,-245092.2,2024-09-15 01:48:00,Phoenix,DRV-0373
VEH-0163,2.0,219848.3,2024/06/25 12:58:00,,DRV-0330
VEH-0145,89.1%,131925.3,2024-08-12 09:39:00,,DRV-0002
VEH-0100,28.8,59002.0,28/02/2024 19:32,,DRV-0041
VEH-0098,29.1,193066.9,2024/01/09 18:15:00,Chicago,DRV-0081
VEH-0109,80.3,11036.4,2024/10/29 23:16:00,Houston,DRV-0062
VEH-0025,25.2,218260.8,2024/05/19 12:08:00,Phoenix,DRV-0292
VEH-0001,140.9,95530.9,2024-04-12 11:34:00,n/a,DRV-0036
VEH-0221,10.6,28060.3,03/01/2024 23:36,UNKNOWN,
VEH-0112,unknown,20015.9,2024/12/04 15:01:00,Chicago,DRV-0192
VEH-0122,81.7,239898.0,05/10/2024 10:47,Los Angeles,DRV-0100
VEH-0138,70.1,197260.2,2024-06-15 12:00:00,Houston,DRV-0326
VEH-0151,44.9,144403.3,2024-01-10 06:09:00,Chicago,DRV-0126
VEH-0014,98.1,157953.4,2024/02/18 11:52:00,Phoenix,DRV-0338
VEH-0007,54.2,114890.7,03-08-2024,Phoenix,DRV-0340
  ,17.6,151554.2,2024-10-09 18:08:00,,DRV-0089
VEH-0091,91.1,43646.0,2024/10/24 11:05:00,Chicago,
VEH-0247,66.7,108849.1,2024-01-11 03:10:00,Phoenix,DRV-0204
VEH-0060,33.3,188718.1,2024/08/12 23:49:00,Phoenix,DRV-0065
VEH-0139,43.6,,2024/09/30 00:52:00,UNKNOWN,DRV-0334
VEH-0176,61.4,63214.5,23/02/2024 01:21,Los Angeles,DRV-0072
VEH-0109,34.8,166227.9,2024-03-10 09:07:00,New York,DRV-0121
VEH-0111,10.1,155784.5,28/02/2024 20:27,n/a,DRV-0245
VEH-0245,8.0,131127.8,07-24-2024,n/a,DRV-0234
VEH-0226,40.4,53686.1,03-06-2024,n/a,DRV-0382
VEH-0130,86.3,120345.7,2024/11/03 15:40:00,Phoenix,DRV-0328
VEH-0149,77.7,71351.3,2024/11/20 14:04:00,UNKNOWN,DRV-0341
VEH-0045,29.1,36177.7,2024-02-07 14:48:00,Phoenix,DRV-0254
VEH-0247,51.9,11741.5,30/04/2024 18:19,UNKNOWN,DRV-0290
VEH-0212,62.3,243345.7,04-17-2024,Phoenix,DRV-0271
VEH-0046,26.9,49657.9,2024/05/30 14:15:00,Houston,DRV-0248
VEH-0167,93.4,216838.7 mi,01-25-2024,Chicago,DRV-0346
VEH-0149,86.7,167317.1,04-28-2024,Chicago,DRV-0338
VEH-0235,95.4,55813.9,2024/12/19 11:12:00,Houston,DRV-0270
VEH-0152,7.5,-26540.1,05/12/2024 10:20,n/a,DRV-0129
VEH-0053,3.8,91792.4,08-02-2024,UNKNOWN,DRV-0365
VEH-0139,79.0,48434.7,2024-03-26 19:04:00,New York,DRV-0096
VEH-0087,57.6,31528.8,14/07/2024 02:11,Los Angeles,DRV-0143
VEH-0229,98.1,153427.0,2024-08-07 05:14:00,n/a,DRV-0192
VEH-0061,38.5,114781.0,01-22-2024,,DRV-0318
VEH-0188,41.1,60132.9,2024-07-30 00:02:00,Los Angeles,DRV-0205
VEH-0180,34.8%,12587.4,27/12/2024 12:20,,DRV-0076
VEH-0164,75.1,,07-24-2024,,DRV-0195
VEH-0216,21.3,167188.3,08-25-2024,Phoenix,DRV-0181
VEH-0023,46.0,157126.0 mi,2024/07/30 23:54:00,Chicago,DRV-0166
VEH-0227,58.8,139238.0,2024-04-30 17:13:00,UNKNOWN,DRV-0115
VEH-0100,65.9,247281.3,2024/10/09 04:02:00,New York,DRV-0283
VEH-0178,85.3,124583.3,02-09-2024,UNKNOWN,DRV-0377
VEH-0023,57.1,83106.7,2024-01-09 08:00:00,,DRV-0356
VEH-0036,unknown,107287.4,06/08/2024 02:21,New York,DRV-0227
VEH-0035,60.2,15170.8,09-07-2024,Houston,DRV-0232
VEH-0100,,56531.3,07/11/2024 00:58,Phoenix,DRV-0300
VEH-0213,44.1,219978.7,2024/06/13 21:05:00,New York,DRV-0290
VEH-0107,46.9,234644.6,03/09/2024 08:42,Phoenix,DRV-0378
VEH-0095,56.0,,09-06-2024,Houston,DRV-0199
VEH-0125,17.1,16262.9,01/04/2024 13:49,UNKNOWN,DRV-0085
VEH-0220,100.0,249159.2,31/01/2024 23:38,Houston,DRV-0355
VEH-0228,4.7,141580.7,05/04/2024 13:41,Houston,DRV-0360
VEH-0027,70.5,204282.0,2024/06/18 01:39:00,Phoenix,DRV-0278
VEH-0173,94.3%,204496.2,2024/11/10 13:02:00,UNKNOWN,DRV-0166
VEH-0003,9.7,119014.2,27/04/2024 17:34,Phoenix,DRV-0299
VEH-0007,99.0,77969.9,23/10/2024 13:43,Chicago,DRV-0081
VEH-0051,10.6%,58263.3,05/02/2024 03:44,Los Angeles,
VEH-0199,87.7,132047.3,2024-06-15 12:00:00,n/a,DRV-0362
VEH-0068,115.3,152963.2,2024/07/10 07:44:00,,DRV-0071
VEH-0248,22.7,42831.1,21/07/2024 08:53,New York,DRV-0366
VEH-0024,92.5,99398.0,2024-05-01 10:17:00,,DRV-0134
VEH-0249,74.2,6299.8,2024-06-08 00:49:00,Phoenix,DRV-0283
VEH-0050,45.0,187206.6,09-09-2024,UNKNOWN,DRV-0061
VEH-0033,94.7%,-33983.2,2024/11/08 20:47:00,Phoenix,DRV-0390
VEH-0053,40.9,136045.0,2024-06-21 05:45:00,,DRV-0226
VEH-0150,51.4%,77117.1,14/04/2024 18:21,Chicago,DRV-0187
VEH-0115,17.4,84369.3,11-21-2024,Phoenix,DRV-0237
VEH-0164,50.4%,207550.7,09/06/2024 23:21,,DRV-0285
VEH-0216,15.0,184358.4,2024-07-23 20:16:00,Chicago,DRV-0289
VEH-0104,90.9,64695.0,20/03/2024 13:36,Houston,DRV-0230
VEH-0009,0.5,190247.7,20/01/2024 13:02,Houston,DRV-0198
VEH-0201,27.0,51709.3,2024-12-16 05:22:00,n/a,DRV-0161
VEH-0081,12.8,26027.4,10/10/2024 22:52,,DRV-0055
VEH-0197,38.8,158178.0 mi,05/02/2024 20:05,n/a,DRV-0081
VEH-0217,131.6,190575.7,09-24-2024,UNKNOWN,DRV-0090
VEH-0181,45.0,47158.1,27/02/2024 13:09,New York,DRV-0161
VEH-0175,77.4,203457.3,2024/04/24 09:51:00,n/a,DRV-0048
VEH-0112,,217741.9,03-21-2024,Los Angeles,DRV-0266
  ,43.0,218182.6,2024/10/21 14:06:00,,DRV-0192
VEH-0048,52.2,1805.0,2024-06-30 08:49:00,Chicago,DRV-0204
VEH-0079,30.4,21614.4,2024/01/13 22:22:00,Phoenix,DRV-0291
VEH-0249,unknown,136677.6,21/06/2024 03:01,,DRV-0110
VEH-0154,94.3,196297.4,2024-08-06 13:54:00,Houston,DRV-0260
VEH-0034,90.8,235925.4,2024-03-30 22:12:00,,DRV-0057
VEH-0025,57.7,29802.6,11/02/2024 14:56,n/a,DRV-0278
VEH-0173,93.7,34380.2,01-16-2024,New York,DRV-0090
VEH-0070,61.7,176694.3,2024-05-07 02:27:00,Chicago,DRV-0314
VEH-0200,19.6,,01-24-2024,New York,DRV-0047
VEH-0072,70.1,18190.8,08-04-2024,Houston,DRV-0251
VEH-0082,71.6,80798.5,11-03-2024,New York,
VEH-0093,15.2,218970.8,07-07-2024,New York,DRV-0329
VEH-0092,23.1,185875.6 mi,06-01-2024,Houston,DRV-0339
VEH-0003,18.8,201241.7,2024/08/24 08:45:00,Houston,DRV-0328
VEH-0227,40.5,129070.8,2024/02/23 21:43:00,Phoenix,DRV-0312
VEH-0154,90.4,204352.0,2024/11/02 08:55:00,Phoenix,DRV-0329
VEH-0202,82.3,52511.8,2024/03/29 07:32:00,New York,DRV-0014
VEH-0084,4.0,50284.1,2024-02-03 10:20:00,Los Angeles,DRV-0377
VEH-0143,66.2,147978.6,2024-01-02 11:20:00,UNKNOWN,DRV-0115
VEH-0081,29.5,142803.2,2024/10/12 16:29:00,Houston,DRV-0264
VEH-0244,35.8,37349.8,27/11/2024 14:13,n/a,DRV-0297
VEH-0040,18.8,88846.1,2024/10/11 15:13:00,Houston,DRV-0033
VEH-0238,89.6,14447.0,2024-12-04 20:18:00,Houston,DRV-0145
VEH-0125,128.1,232708.2,2024/04/10 13:10:00,Phoenix,DRV-0301
VEH-0220,2.7,16301.1,06-06-2024,Phoenix,DRV-0319
VEH-0104,16.7,195157.9,07-12-2024,New York,DRV-0170
VEH-0242,112.6,182054.1,2024-12-23 10:43:00,New York,DRV-0241
VEH-0071,11.1,211613.1,2024/01/10 00:04:00,Los Angeles,DRV-0076
VEH-0196,78.8,166246.2,06/04/2024 05:59,Los Angeles,DRV-0322
VEH-0179,98.3%,60400.3,07-04-2024,,DRV-0383
VEH-0095,1.0,179012.5,2024-02-12 04:39:00,Phoenix,DRV-0064
VEH-0013,49.4,,22/08/2024 05:03,Phoenix,DRV-0311
VEH-0225,56.8,74089.4,2024-05-12 19:31:00,Houston,DRV-0215
VEH-0121,97.6,84223.9,2024/08/29 09:37:00,n/a,DRV-0151
VEH-0179,16.2,121610.6,2024/08/29 06:23:00,,DRV-0222
VEH-0006,53.4,169725.8,2024/06/12 18:44:00,UNKNOWN,DRV-0164
VEH-0161,16.7,41904.8,2024-10-31 22:48:00,Houston,DRV-0272
VEH-0189,60.8,111143.4,04-13-2024,Chicago,DRV-0192
VEH-0149,86.7,167317.1,04-28-2024,Chicago,DRV-0338
VEH-0024,38.5,100573.7 mi,11/06/2024 01:23,Phoenix,DRV-0226
VEH-0050,80.6,69918.5,2024/07/10 09:41:00,New York,
VEH-0004,65.6,124255.9,08-25-2024,New York,DRV-0157
VEH-0005,79.6,183756.3,2024/10/29 16:37:00,New York,
VEH-0125,147.5,225561.4,09-21-2024,Los Angeles,DRV-0269
VEH-0195,4.2,4468.5,2024-12-07 15:49:00,UNKNOWN,DRV-0245
VEH-0249,,153234.9,2024-04-15 07:04:00,Houston,DRV-0287
VEH-0248,28.4,237106.3,2024/05/31 05:06:00,Houston,DRV-0337
VEH-0059,45.4,96464.9,2024-12-24 18:57:00,UNKNOWN,DRV-0343
VEH-0203,74.7,54678.5,08-14-2024,,DRV-0251
VEH-0103,73.9,106579.6,10-02-2024,Phoenix,DRV-0240
VEH-0083,62.0,69345.3,2024/06/09 23:00:00,Phoenix,DRV-0286
VEH-0098,unknown,182234.8,2024/12/16 03:24:00,Los Angeles,
VEH-0025,41.0,233298.2,09-23-2024,UNKNOWN,DRV-0382
VEH-0022,95.6,7157.8,14/09/2024 10:39,n/a,DRV-0247
VEH-0059,81.3,179530.8,2024/02/27 05:43:00,Los Angeles,DRV-0397
VEH-0050,,57659.7 mi,2024/05/23 03:00:00,Houston,DRV-0388
VEH-0131,51.7,189694.1,2024/02/17 17:44:00,Phoenix,DRV-0227
VEH-0059,39.2,223918.7,02/07/2024 17:49,New York,DRV-0111
VEH-0195,96.7,67149.7,05-08-2024,,DRV-0370
VEH-0060,unknown,,06-07-2024,,DRV-0256
VEH-0051,,173012.6,2024/07/17 08:31:00,Chicago,DRV-0226
VEH-0157,94.3,24623.7,19/10/2024 06:34,New York,DRV-0374
VEH-0176,28.2,88262.6,20/03/2024 03:52,Houston,DRV-0157
VEH-0054,1.4,141714.6,2024/01/12 09:58:00,Chicago,DRV-0007
VEH-0202,62.1,194469.4,2024-11-10 11:42:00,Houston,DRV-0070
VEH-0045,50.8,39344.6,2024-05-30 18:45:00,,DRV-0067
VEH-0073,12.6,225774.4,2024-09-09 07:57:00,UNKNOWN,DRV-0008
VEH-0049,31.2,,02-03-2024,Chicago,DRV-0272
VEH-0180,75.6,113545.9 mi,03-21-2024,Houston,DRV-0094
VEH-0137,,21000.4,02-24-2024,Houston,DRV-0097
VEH-0069,23.6,233126.0 mi,09-16-2024,,DRV-0117
VEH-0145,25.9,48656.0,2024-02-14 07:41:00,New York,DRV-0265
VEH-0117,19.5,86335.5,09-06-2024,Los Angeles,DRV-0219
VEH-0072,4.7,167136.7,2024/10/16 00:22:00,Houston,DRV-0071
VEH-0129,51.2,235891.3,2024-04-11 10:07:00,Houston,DRV-0379
VEH-0238,95.8,43825.7,27/03/2024 07:09,Houston,DRV-0137
VEH-0072,33.9,126482.9,2024/06/05 04:53:00,New York,DRV-0358
VEH-0192,87.5,75364.0,09-05-2024,Phoenix,DRV-0180
VEH-0113,25.9,181051.2,2024-10-28 16:50:00,Los Angeles,DRV-0345
VEH-0055,76.0%,213246.0,20/12/2024 12:06,Chicago,DRV-0189
VEH-0249,86.0,114563.3,02-20-2024,,DRV-0147
VEH-0159,45.9%,62947.1,2024-08-19 01:04:00,n/a,DRV-0275
VEH-0162,43.4,22150.1,04-06-2024,Chicago,DRV-0353
VEH-0218,85.9,125014.6,2024-05-05 21:34:00,n/a,DRV-0262
VEH-0015,6.0,81375.8,02-07-2024,Houston,DRV-0094
VEH-0107,80.9,,2024/08/17 11:59:00,Los Angeles,DRV-0050
VEH-0094,75.2,197894.8,2024-10-19 06:44:00,New York,
VEH-0160,40.3,226810.8,08/02/2024 09:37,New York,DRV-0341
VEH-0034,94.1,162191.3,2024/03/18 00:25:00,Phoenix,DRV-0032
